Device: cuda
Vocabulary size: 125 | PAD index: 0
Training data: 1754281 sequences x 100 steps
Trainable parameters: 21636221
Batch size: 128 | batches per epoch: 13705 | epochs: 15
  epoch 1/15 | batch 100/13705 | loss 2.2666 | avg 2.4047
  epoch 1/15 | batch 200/13705 | loss 2.2156 | avg 2.3271
  epoch 1/15 | batch 300/13705 | loss 2.2482 | avg 2.2933
  epoch 1/15 | batch 400/13705 | loss 2.2098 | avg 2.2739
  epoch 1/15 | batch 500/13705 | loss 1.9032 | avg 2.2353
  epoch 1/15 | batch 600/13705 | loss 1.4926 | avg 2.1437
  epoch 1/15 | batch 700/13705 | loss 1.3048 | avg 2.0368
  epoch 1/15 | batch 800/13705 | loss 1.1938 | avg 1.9339
  epoch 1/15 | batch 900/13705 | loss 1.0423 | avg 1.8411
  epoch 1/15 | batch 1000/13705 | loss 1.0168 | avg 1.7582
  epoch 1/15 | batch 1100/13705 | loss 0.9759 | avg 1.6847
  epoch 1/15 | batch 1200/13705 | loss 0.8452 | avg 1.6183
  epoch 1/15 | batch 1300/13705 | loss 0.7908 | avg 1.5591
  epoch 1/15 | batch 1400/13705 | loss 0.7870 | avg 1.5053
  epoch 1/15 | batch 1500/13705 | loss 0.7871 | avg 1.4561
  epoch 1/15 | batch 1600/13705 | loss 0.7082 | avg 1.4115
  epoch 1/15 | batch 1700/13705 | loss 0.6879 | avg 1.3707
  epoch 1/15 | batch 1800/13705 | loss 0.6675 | avg 1.3331
  epoch 1/15 | batch 1900/13705 | loss 0.6690 | avg 1.2987
  epoch 1/15 | batch 2000/13705 | loss 0.6590 | avg 1.2670
  epoch 1/15 | batch 2100/13705 | loss 0.6312 | avg 1.2375
  epoch 1/15 | batch 2200/13705 | loss 0.5818 | avg 1.2101
  epoch 1/15 | batch 2300/13705 | loss 0.6058 | avg 1.1846
  epoch 1/15 | batch 2400/13705 | loss 0.5836 | avg 1.1609
  epoch 1/15 | batch 2500/13705 | loss 0.5876 | avg 1.1388
  epoch 1/15 | batch 2600/13705 | loss 0.5749 | avg 1.1179
  epoch 1/15 | batch 2700/13705 | loss 0.5816 | avg 1.0983
  epoch 1/15 | batch 2800/13705 | loss 0.5910 | avg 1.0798
  epoch 1/15 | batch 2900/13705 | loss 0.5633 | avg 1.0624
  epoch 1/15 | batch 3000/13705 | loss 0.5663 | avg 1.0458
  epoch 1/15 | batch 3100/13705 | loss 0.5617 | avg 1.0302
  epoch 1/15 | batch 3200/13705 | loss 0.5807 | avg 1.0153
  epoch 1/15 | batch 3300/13705 | loss 0.5775 | avg 1.0013
  epoch 1/15 | batch 3400/13705 | loss 0.5331 | avg 0.9880
  epoch 1/15 | batch 3500/13705 | loss 0.5221 | avg 0.9752
  epoch 1/15 | batch 3600/13705 | loss 0.5231 | avg 0.9631
  epoch 1/15 | batch 3700/13705 | loss 0.5377 | avg 0.9514
  epoch 1/15 | batch 3800/13705 | loss 0.5363 | avg 0.9403
  epoch 1/15 | batch 3900/13705 | loss 0.5181 | avg 0.9297
  epoch 1/15 | batch 4000/13705 | loss 0.5158 | avg 0.9195
  epoch 1/15 | batch 4100/13705 | loss 0.5189 | avg 0.9096
  epoch 1/15 | batch 4200/13705 | loss 0.5291 | avg 0.9002
  epoch 1/15 | batch 4300/13705 | loss 0.5077 | avg 0.8911
  epoch 1/15 | batch 4400/13705 | loss 0.5050 | avg 0.8823
  epoch 1/15 | batch 4500/13705 | loss 0.5402 | avg 0.8741
  epoch 1/15 | batch 4600/13705 | loss 0.4856 | avg 0.8661
  epoch 1/15 | batch 4700/13705 | loss 0.4750 | avg 0.8583
  epoch 1/15 | batch 4800/13705 | loss 0.5032 | avg 0.8507
  epoch 1/15 | batch 4900/13705 | loss 0.5029 | avg 0.8435
  epoch 1/15 | batch 5000/13705 | loss 0.4890 | avg 0.8365
  epoch 1/15 | batch 5100/13705 | loss 0.4947 | avg 0.8298
  epoch 1/15 | batch 5200/13705 | loss 0.4984 | avg 0.8233
  epoch 1/15 | batch 5300/13705 | loss 0.4801 | avg 0.8169
  epoch 1/15 | batch 5400/13705 | loss 0.4850 | avg 0.8108
  epoch 1/15 | batch 5500/13705 | loss 0.4989 | avg 0.8048
  epoch 1/15 | batch 5600/13705 | loss 0.4875 | avg 0.7991
  epoch 1/15 | batch 5700/13705 | loss 0.4957 | avg 0.7935
  epoch 1/15 | batch 5800/13705 | loss 0.4614 | avg 0.7880
  epoch 1/15 | batch 5900/13705 | loss 0.5163 | avg 0.7828
  epoch 1/15 | batch 6000/13705 | loss 0.4886 | avg 0.7776
  epoch 1/15 | batch 6100/13705 | loss 0.4537 | avg 0.7726
  epoch 1/15 | batch 6200/13705 | loss 0.4735 | avg 0.7678
  epoch 1/15 | batch 6300/13705 | loss 0.4529 | avg 0.7630
  epoch 1/15 | batch 6400/13705 | loss 0.4687 | avg 0.7584
  epoch 1/15 | batch 6500/13705 | loss 0.4603 | avg 0.7539
  epoch 1/15 | batch 6600/13705 | loss 0.4907 | avg 0.7495
  epoch 1/15 | batch 6700/13705 | loss 0.4403 | avg 0.7452
  epoch 1/15 | batch 6800/13705 | loss 0.4861 | avg 0.7411
  epoch 1/15 | batch 6900/13705 | loss 0.4418 | avg 0.7370
  epoch 1/15 | batch 7000/13705 | loss 0.4489 | avg 0.7331
  epoch 1/15 | batch 7100/13705 | loss 0.4618 | avg 0.7292
  epoch 1/15 | batch 7200/13705 | loss 0.4683 | avg 0.7254
  epoch 1/15 | batch 7300/13705 | loss 0.4358 | avg 0.7218
  epoch 1/15 | batch 7400/13705 | loss 0.4611 | avg 0.7182
  epoch 1/15 | batch 7500/13705 | loss 0.4552 | avg 0.7147
  epoch 1/15 | batch 7600/13705 | loss 0.4449 | avg 0.7112
  epoch 1/15 | batch 7700/13705 | loss 0.4373 | avg 0.7078
  epoch 1/15 | batch 7800/13705 | loss 0.4475 | avg 0.7045
  epoch 1/15 | batch 7900/13705 | loss 0.4486 | avg 0.7013
  epoch 1/15 | batch 8000/13705 | loss 0.4600 | avg 0.6982
  epoch 1/15 | batch 8100/13705 | loss 0.4617 | avg 0.6951
  epoch 1/15 | batch 8200/13705 | loss 0.4350 | avg 0.6920
  epoch 1/15 | batch 8300/13705 | loss 0.4344 | avg 0.6891
  epoch 1/15 | batch 8400/13705 | loss 0.4687 | avg 0.6862
  epoch 1/15 | batch 8500/13705 | loss 0.4496 | avg 0.6834
  epoch 1/15 | batch 8600/13705 | loss 0.4484 | avg 0.6806
  epoch 1/15 | batch 8700/13705 | loss 0.4574 | avg 0.6779
  epoch 1/15 | batch 8800/13705 | loss 0.4554 | avg 0.6752
